Company,Website,Signal,Funding Amount,Decision Maker Title,LinkedIn
FinTech ScaleUp,www.example-fintech.com,Series B Funding,$15,000,000,VP of Growth,https://linkedin.com/company/example
Video AI Tool,www.example-ai.com,Active Ads (24),N/A,Founder,https://linkedin.com/company/example-ai
Cloud Infra,www.example-cloud.com,Series A Funding,$6,000,000,CTO,https://linkedin.com/company/example-cloud
Marketing Agency,www.example-agency.com,Active Ads (5),N/A,CEO,https://linkedin.com/company/example-agency
Logistics Tech,www.example-logistics.com,Seed Funding,$2,500,000,Head of Operations,https://linkedin.com/company/example-logistics
Health SaaS,www.example-health.com,Active Ads (12),N/A,Marketing Director,https://linkedin.com/company/example-health
EdTech Pro,www.example-edtech.com,Series A Funding,$8,000,000,VP of Sales,https://linkedin.com/company/example-edtech
HR Software,www.example-hr.com,Active Ads (30),N/A,Chief People Officer,https://linkedin.com/company/example-hr
CyberSec Shield,www.example-cyber.com,Series C Funding,$40,000,000,CISO,https://linkedin.com/company/example-cyber
Green Energy Co,www.example-energy.com,Seed Funding,$4,000,000,Founder,https://linkedin.com/company/example-energy
